Airport Code,Airport Name,City Name,State Name,Average Fare ($)
MAZ,Eugenio Maria de Hostos,Mayaguez,PR,612.12
ELD,South Arkansas Regional at Goodwin Field,El Dorado,AR,543.83
HRO,Boone County,Harrison,AR,473.0
HOT,Memorial Field,Hot Springs,AR,536.0
MKK,Molokai,Hoolehua,HI,500.67
MKL,McKellar-Sipes Regional,Jackson,TN,669.33
VDZ,Valdez Pioneer Field,Valdez,AK,858.75
HVR,Havre City-County,Havre,MT,641.0
OLF,L. M. Clayton,Wolf Point,MT,523.0
GDV,Dawson Community,Glendive,MT,512.73
PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,345.67
GGW,Wokal Field Glasgow Valley County,Glasgow,MT,825.0
CPX,Benjamin Rivera Noriega,Culebra,PR,359.5
CDB,Cold Bay Airport,Cold Bay,AK,1073.0
JBR,Jonesboro Municipal,Jonesboro,AR,449.86
MCN,Middle Georgia Regional,Macon,GA,558.0
SGY,Skagway Airport,Skagway,AK,941.5
LNY,Lanai Airport,Lanai,HI,514.8
JHM,Kapalua Airport,Kapalua,HI,668.0
UNK,Unalakleet Airport,Unalakleet,AK,1405.5
LAL,Lakeland Linder International,Lakeland,FL,140.08
IPT,Williamsport Regional,Williamsport,PA,493.75
LAF,Purdue University,Lafayette,IN,525.53
OGD,Ogden-Hinckley,Ogden,UT,117.12
,,,,382.25
,,,,
,,,,
